@relation BOOKKEEPER_trainingSet2-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute LOC numeric
@attribute LOC_touched numeric
@attribute Age numeric
@attribute 'Revision number' numeric
@attribute 'Fix number' numeric
@attribute 'Author Number' numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute churn numeric
@attribute MAX_churn numeric
@attribute Buggyness {no,yes}

@data
137,333,12,4,0,2,235,137,58.75,139,137,no
244,436,12,5,0,2,340,252,68,262,252,no
1026,1466,12,14,0,3,1246,545,89,1026,545,yes
92,150,12,3,0,3,121,81,40.333333,92,81,yes
180,210,12,4,0,2,195,168,48.75,180,168,no
471,795,12,9,0,3,633,487,70.333333,551,487,yes
204,216,12,5,0,3,210,124,42,204,124,yes
551,691,12,7,0,3,621,536,88.714286,557,536,yes
149,187,12,5,0,3,168,133,33.6,149,133,yes
157,171,12,3,0,3,164,151,54.666667,157,151,yes
147,147,12,1,0,1,147,147,147,147,147,no
137,401,12,5,0,3,269,126,53.8,141,126,yes
271,289,12,4,0,3,280,249,70,271,249,no
548,1532,12,9,0,3,1040,410,115.555556,548,410,yes
728,1134,12,6,0,2,931,714,155.166667,882,714,yes
205,219,12,4,0,2,212,204,53,205,204,yes
50,56,12,2,0,2,53,50,26.5,50,50,no
185,229,12,5,0,3,207,184,41.4,185,184,yes
61,71,12,3,0,3,66,61,22,61,61,yes
157,263,12,8,0,3,210,167,26.25,181,167,yes
81,103,12,4,0,3,92,80,23,81,80,no
84,182,12,3,0,2,133,83,44.333333,84,83,no
762,2162,12,12,0,3,1462,547,121.833333,770,547,yes
248,328,12,7,0,3,288,198,41.142857,252,198,yes
169,295,12,9,0,3,232,140,25.777778,171,140,no
196,252,12,6,0,3,224,178,37.333333,196,178,yes
67,85,12,4,0,3,76,67,19,67,67,no
165,199,12,4,0,3,182,138,45.5,165,138,yes
173,213,12,4,0,3,193,170,48.25,173,170,yes
103,151,12,6,0,2,127,101,21.166667,107,101,yes
78,78,12,1,0,1,78,78,78,78,78,yes
87,89,12,2,0,2,88,87,44,87,87,yes
85,87,12,2,0,2,86,85,43,85,85,no
105,107,12,2,0,1,106,61,53,105,61,yes
216,232,12,4,0,2,224,216,56,216,216,yes
377,417,12,4,0,2,397,377,99.25,377,377,yes
253,257,12,2,0,1,255,251,127.5,253,251,yes
193,193,12,1,0,1,193,193,193,193,193,yes
514,514,12,1,0,1,514,514,514,514,514,yes
204,204,12,1,0,1,204,204,204,204,204,no
144,144,12,1,0,1,144,144,144,144,144,yes
98,98,12,1,0,1,98,98,98,98,98,no
181,225,12,7,0,3,203,178,29,189,178,yes
154,170,12,4,0,3,162,75,40.5,154,75,yes
393,585,12,11,0,3,489,209,44.454545,399,209,yes
132,146,12,3,0,3,139,57,46.333333,132,75,no
533,579,12,8,0,3,556,521,69.5,535,521,no
603,763,12,9,0,3,683,573,75.888889,607,573,yes
148,148,12,1,0,1,148,148,148,148,148,no
174,194,12,3,0,2,184,173,61.333333,174,173,no
148,168,12,3,0,2,158,147,52.666667,148,147,no
92,1576,12,6,0,3,834,763,139,1442,763,no
234,642,12,6,0,3,438,209,73,234,209,yes
54,64,12,3,0,3,59,54,19.666667,54,54,no
38,48,12,2,0,2,43,38,21.5,38,38,no
98,106,12,2,0,2,102,98,51,98,98,no
39,59,12,3,0,2,49,38,16.333333,39,38,no
69,127,12,3,0,3,98,94,32.666667,119,94,no
94,94,12,1,0,1,94,94,94,94,94,no
72,72,12,1,0,1,72,72,72,72,72,no
42,42,12,1,0,1,42,42,42,42,42,no
48,64,12,3,0,2,56,48,18.666667,48,48,no
63,71,12,2,0,2,67,63,33.5,63,63,no
237,277,12,2,0,2,257,237,128.5,237,237,no
133,145,12,3,0,2,139,133,46.333333,133,133,no
137,163,12,4,0,2,150,136,37.5,137,136,no
177,185,12,3,0,2,181,176,60.333333,177,176,no
46,48,12,2,0,2,47,46,23.5,46,46,no
128,146,12,5,0,3,137,127,27.4,128,127,no
149,155,12,3,0,2,152,148,50.666667,149,148,no
58,60,12,2,0,2,59,58,29.5,58,58,no
149,155,12,2,0,2,152,149,76,149,149,no
74,82,12,2,0,2,78,74,39,74,74,no
37,37,12,1,0,1,37,37,37,37,37,no
38,42,12,2,0,2,40,38,20,38,38,no
39,41,12,2,0,2,40,39,20,39,39,no
96,118,12,4,0,2,107,95,26.75,96,95,no
88,94,12,3,0,2,91,87,30.333333,88,87,no
71,85,12,4,0,2,78,70,19.5,71,70,no
114,132,12,4,0,2,123,113,30.75,114,113,no
336,492,12,6,0,3,414,329,69,336,329,no
84,102,12,4,0,2,93,83,23.25,84,83,no
58,68,12,3,0,2,63,58,21,58,58,no
123,137,12,4,0,2,130,122,32.5,123,122,yes
369,369,12,1,0,1,369,369,369,369,369,yes
231,255,12,5,0,2,243,224,48.6,231,224,yes
586,704,12,4,0,2,645,585,161.25,586,585,yes
366,414,12,5,0,2,390,365,78,366,365,no
99,117,12,4,0,2,108,98,27,99,98,yes
41,41,12,1,0,1,41,41,41,41,41,no
66,92,12,2,0,2,79,65,39.5,66,65,no
54,56,12,3,0,3,55,45,18.333333,54,45,no
47,55,12,2,0,2,51,47,25.5,47,47,no
183,223,12,4,0,3,203,185,50.75,187,185,no
49,49,12,1,0,1,49,49,49,49,49,no
50,50,12,1,0,1,50,50,50,50,50,no
98,102,12,2,0,2,100,97,50,98,97,no
138,138,12,1,0,1,138,138,138,138,138,no
43,43,12,1,0,1,43,43,43,43,43,no
42,42,12,1,0,1,42,42,42,42,42,no
56,56,12,1,0,1,56,56,56,56,56,no
162,164,12,2,0,2,163,162,81.5,162,162,no
6367,18077,12,2,0,2,12222,6095,6111,6367,6095,no
153,157,12,2,0,2,155,153,77.5,153,153,no
43,43,12,1,0,1,43,43,43,43,43,no
41,43,12,2,0,2,42,41,21,41,41,no
105,205,12,3,0,2,155,104,51.666667,105,104,no
105,191,12,5,0,3,148,103,29.6,105,103,no
92,160,12,4,0,3,126,91,31.5,92,91,no
101,201,12,3,0,2,151,100,50.333333,101,100,no
45,45,12,1,0,1,45,45,45,45,45,no
289,291,12,2,0,2,290,289,145,289,289,no
32,38,12,2,0,2,35,31,17.5,32,31,no
111,111,12,1,0,1,111,111,111,111,111,no
35,37,12,2,0,2,36,35,18,35,35,no
81,81,12,1,0,1,81,81,81,81,81,no
27,27,12,1,0,1,27,27,27,27,27,no
28,28,12,1,0,1,28,28,28,28,28,no
29,31,12,2,0,2,30,29,15,29,29,no
566,634,12,4,0,3,600,561,150,566,561,no
64,96,12,2,0,2,80,64,40,64,64,no
29,31,12,2,0,2,30,29,15,29,29,no
64,66,12,2,0,2,65,64,32.5,64,64,no
37,43,12,2,0,2,40,37,20,37,37,no
68,90,12,2,0,2,79,68,39.5,68,68,no
154,176,12,3,0,2,165,153,55,154,153,no
72,74,12,2,0,2,73,72,36.5,72,72,no
385,415,12,6,0,3,400,364,66.666667,385,364,no
76,80,12,2,0,2,78,76,39,76,76,no
159,167,12,3,0,2,163,158,54.333333,159,158,no
737,1035,12,3,0,2,886,736,295.333333,737,736,no
74,78,12,2,0,2,76,74,38,74,74,no
94,100,12,3,0,2,97,93,32.333333,94,93,no
22,22,12,1,0,1,22,22,22,22,22,no
427,451,12,3,0,2,439,426,146.333333,427,426,no
62,62,12,1,0,1,62,62,62,62,62,no
58,60,12,2,0,2,59,58,29.5,58,58,no
91,101,12,2,0,2,96,91,48,91,91,no
27,29,12,2,0,2,28,27,14,27,27,no
77,81,12,2,0,2,79,77,39.5,77,77,no
704,780,12,3,0,2,742,703,247.333333,704,703,no
63,71,12,2,0,2,67,63,33.5,63,63,no
37,37,12,1,0,1,37,37,37,37,37,no
64,66,12,2,0,2,65,64,32.5,64,64,no
124,130,12,2,0,2,127,124,63.5,124,124,no
160,174,12,4,0,2,167,159,41.75,160,159,no
36,46,12,2,0,2,41,36,20.5,36,36,no
58,62,12,2,0,2,60,57,30,58,57,no
62,62,12,1,0,1,62,62,62,62,62,no
130,154,12,4,0,2,142,129,35.5,130,129,no
74,78,12,2,0,2,76,73,38,74,73,no
83,89,12,3,0,2,86,82,28.666667,83,82,no
74,74,12,1,0,1,74,74,74,74,74,no
48,52,12,2,0,2,50,48,25,48,48,no
60,62,12,2,0,2,61,60,30.5,60,60,no
70,82,12,3,0,2,76,70,25.333333,70,70,no
183,221,12,4,0,2,202,180,50.5,183,180,no
53,53,12,1,0,1,53,53,53,53,53,no
452,492,12,4,0,2,472,450,118,452,450,no
39,39,12,1,0,1,39,39,39,39,39,no
78,86,12,2,0,2,82,78,41,78,78,no
64,66,12,2,0,2,65,64,32.5,64,64,no
31,33,12,2,0,2,32,31,16,31,31,no
57,65,12,2,0,2,61,57,30.5,57,57,no
104,118,12,2,0,2,111,104,55.5,104,104,no
32,32,12,1,0,1,32,32,32,32,32,no
227,331,12,3,0,2,279,226,93,227,226,no
197,219,12,4,0,3,208,187,52,197,187,no
75,87,12,2,0,2,81,75,40.5,75,75,no
28,28,12,1,0,1,28,28,28,28,28,no
52,56,12,2,0,2,54,52,27,52,52,no
429,583,12,3,0,2,506,428,168.666667,429,428,no
103,164,12,2,0,2,134,104,67,104,104,no
35,35,12,1,0,1,35,35,35,35,35,no
98,100,12,2,0,2,99,98,49.5,98,98,no
79,109,12,3,0,2,94,78,31.333333,79,78,no
360,380,12,3,0,2,370,359,123.333333,360,359,no
545,545,12,1,0,1,545,545,545,545,545,no
81,81,12,1,0,1,81,81,81,81,81,no
168,168,12,1,0,1,168,168,168,168,168,no
487,487,12,1,0,1,487,487,487,487,487,no
124,124,12,1,0,1,124,124,124,124,124,no
536,536,12,1,0,1,536,536,536,536,536,no
133,133,12,1,0,1,133,133,133,133,133,no
151,151,12,1,0,1,151,151,151,151,151,no
147,147,12,1,0,1,147,147,147,147,147,no
126,126,12,1,0,1,126,126,126,126,126,no
249,249,12,1,0,1,249,249,249,249,249,no
410,410,12,1,0,1,410,410,410,410,410,no
204,204,12,1,0,1,204,204,204,204,204,no
50,50,12,1,0,1,50,50,50,50,50,no
184,184,12,1,0,1,184,184,184,184,184,no
61,61,12,1,0,1,61,61,61,61,61,no
167,167,12,1,0,1,167,167,167,167,167,no
80,80,12,1,0,1,80,80,80,80,80,no
83,83,12,1,0,1,83,83,83,83,83,no
547,547,12,1,0,1,547,547,547,547,547,no
198,198,12,1,0,1,198,198,198,198,198,no
140,140,12,1,0,1,140,140,140,140,140,no
178,178,12,1,0,1,178,178,178,178,178,no
67,67,12,1,0,1,67,67,67,67,67,no
138,138,12,1,0,1,138,138,138,138,138,no
170,170,12,1,0,1,170,170,170,170,170,no
87,87,12,1,0,1,87,87,87,87,87,no
85,85,12,1,0,1,85,85,85,85,85,no
178,178,12,1,0,1,178,178,178,178,178,no
75,75,12,1,0,1,75,75,75,75,75,no
209,209,12,1,0,1,209,209,209,209,209,no
57,57,12,1,0,1,57,57,57,57,57,no
521,521,12,1,0,1,521,521,521,521,521,no
573,573,12,1,0,1,573,573,573,573,573,no
148,148,12,1,0,1,148,148,148,148,148,no
173,173,12,1,0,1,173,173,173,173,173,no
147,147,12,1,0,1,147,147,147,147,147,no
763,763,12,1,0,1,763,763,763,763,763,no
209,209,12,1,0,1,209,209,209,209,209,no
54,54,12,1,0,1,54,54,54,54,54,no
38,38,12,1,0,1,38,38,38,38,38,no
98,98,12,1,0,1,98,98,98,98,98,no
38,38,12,1,0,1,38,38,38,38,38,no
94,94,12,1,0,1,94,94,94,94,94,no
215,239,11,3,1,1,227,177,75.666667,215,177,no
271,297,11,2,0,1,284,260,142,271,260,no
451,617,11,5,0,3,534,425,106.8,459,425,no
137,0,11,0,0,0,0,0,0,0,0,no
368,486,11,2,0,2,305,11,152.5,124,123,no
764,1422,11,20,7,3,580,1,29,612,327,no
51,55,11,2,0,2,53,52,26.5,53,52,no
150,68,11,2,1,2,63,58,31.5,58,53,no
31,35,11,2,0,2,33,33,16.5,35,33,no
180,0,11,0,0,0,0,0,0,0,0,no
196,208,11,2,1,1,202,195,101,196,195,no
473,748,11,12,5,3,375,1,31.25,282,129,no
40,40,11,1,1,1,40,40,40,40,40,no
255,209,11,4,2,1,130,79,32.5,51,20,no
379,423,11,4,1,3,401,160,100.25,379,211,no
509,581,11,7,1,3,545,378,77.857143,541,378,no
32,32,11,1,0,1,32,32,32,32,32,no
66,82,11,2,0,1,74,69,37,72,69,no
187,235,11,4,2,2,211,183,52.75,191,183,no
576,602,11,3,0,2,589,550,196.333333,576,550,no
158,164,11,3,0,1,161,157,53.666667,158,157,no
46,761,11,8,2,2,128,14,16,579,531,no
27,133,11,2,0,1,80,79,40,131,79,no
788,896,11,7,4,3,842,712,120.285714,788,712,no
60,60,11,1,0,1,60,60,60,60,60,no
62,235,11,5,1,1,74,36,14.8,159,88,no
88,148,11,2,0,1,118,113,59,138,113,no
52,58,11,2,0,1,55,53,27.5,54,53,no
163,12,11,2,1,2,9,6,4.5,6,4,no
91,91,11,1,0,1,91,91,91,91,91,no
147,0,11,0,0,0,0,0,0,0,0,no
139,22,11,1,1,1,12,12,12,2,2,no
282,11,11,1,0,1,11,11,11,11,11,no
582,270,11,6,3,3,152,106,25.333333,116,68,no
800,110,11,4,1,2,91,73,22.75,72,62,no
216,27,11,3,2,1,19,7,6.333333,11,7,no
55,13,11,1,0,1,9,9,9,5,5,no
184,17,11,3,2,2,8,4,2.666667,3,2,no
65,22,11,1,1,1,13,13,13,4,4,no
150,59,11,2,1,1,26,25,13,7,7,no
81,0,11,0,0,0,0,0,0,0,0,no
84,0,11,0,0,0,0,0,0,0,0,no
905,299,11,9,5,3,221,6,24.555556,143,65,no
312,76,11,5,2,3,70,4,14,64,44,no
