Project Name,Index,Classifier Name,Training Instances (%),Cost Sensitive,Sampling,Selection,Precision,Recall,F1,Kappa,AUC,True Positive,False Positive,True Negative,False Negative
OPENJPA,2,naive bayes,69.99689730065157,no,no,no,0.7692307692307693,0.13157894736842105,0.2247191011235955,0.20650041028934374,0.8296045247799634,10.0,3.0,888.0,66.0
OPENJPA,2,random forest,69.99689730065157,no,no,no,0.7692307692307693,0.06578947368421052,0.1212121212121212,0.11019234796514796,0.6124512670565302,10.0,3.0,1779.0,142.0
OPENJPA,2,IBK,69.99689730065157,no,no,no,0.7692307692307693,0.043859649122807015,0.08298755186721991,0.07514573442794664,0.5905858454591398,10.0,3.0,2670.0,218.0
OPENJPA,2,naive bayes,69.99689730065157,no,no,feature selection,0.0,0.0,0.0,-0.004046750618993687,0.522572213361687,0.0,2.0,889.0,76.0
OPENJPA,2,random forest,69.99689730065157,no,no,feature selection,0.25,0.006578947368421052,0.012820512820512818,0.008825643619711379,0.5146549559926753,1.0,3.0,1779.0,151.0
OPENJPA,2,IBK,69.99689730065157,no,no,feature selection,0.4,0.008771929824561403,0.017167381974248927,0.01384095372543385,0.5174929936138513,2.0,3.0,2670.0,226.0
OPENJPA,2,naive bayes,69.99689730065157,no,SMOTE,no,0.8,0.15789473684210525,0.26373626373626374,0.24415226851149732,0.8282680607242011,12.0,3.0,888.0,64.0
OPENJPA,2,random forest,69.99689730065157,no,SMOTE,no,0.8,0.07894736842105263,0.1437125748502994,0.13144985522175265,0.637554270777955,12.0,3.0,1779.0,140.0
OPENJPA,2,IBK,69.99689730065157,no,SMOTE,no,0.8,0.05263157894736842,0.09876543209876543,0.08993515283561315,0.6102898707674537,12.0,3.0,2670.0,216.0
OPENJPA,2,naive bayes,69.99689730065157,cost sensitive,no,no,0.7857142857142857,0.14473684210526316,0.24444444444444444,0.22550705519304645,0.8296045247799634,11.0,3.0,888.0,65.0
OPENJPA,2,random forest,69.99689730065157,cost sensitive,no,no,0.7857142857142857,0.07236842105263158,0.13253012048192772,0.12087579074964924,0.6325369927343611,11.0,3.0,1779.0,141.0
OPENJPA,2,IBK,69.99689730065157,cost sensitive,no,no,0.7857142857142857,0.04824561403508772,0.0909090909090909,0.0825664335061195,0.6063354467350569,11.0,3.0,2670.0,217.0
OPENJPA,2,naive bayes,69.99689730065157,cost sensitive,no,feature selection,0.5,0.02631578947368421,0.05,0.0424744632061708,0.522572213361687,2.0,2.0,889.0,74.0
OPENJPA,2,random forest,69.99689730065157,cost sensitive,no,feature selection,0.5,0.019736842105263157,0.03797468354430379,0.03219774286579719,0.5097447427491287,3.0,3.0,1779.0,149.0
OPENJPA,2,IBK,69.99689730065157,cost sensitive,no,feature selection,0.5714285714285714,0.017543859649122806,0.034042553191489355,0.029498498989747893,0.5097055676977704,4.0,3.0,2670.0,224.0
OPENJPA,2,naive bayes,69.99689730065157,no,SMOTE,feature selection,0.3333333333333333,0.013157894736842105,0.02531645569620253,0.019463502640347134,0.6264619883040936,1.0,2.0,889.0,75.0
OPENJPA,2,random forest,69.99689730065157,no,SMOTE,feature selection,0.4,0.013157894736842105,0.025477707006369425,0.020574742319226264,0.5447383188611259,2.0,3.0,1779.0,150.0
OPENJPA,2,IBK,69.99689730065157,no,SMOTE,feature selection,0.42857142857142855,0.013157894736842105,0.025531914893617023,0.020947824972035484,0.5340072262586882,3.0,4.0,2669.0,225.0
OPENJPA,3,naive bayes,76.05002359603587,no,no,no,0.72,0.1836734693877551,0.29268292682926833,0.2637875693025968,0.8292346382391561,18.0,7.0,910.0,80.0
OPENJPA,3,random forest,76.05002359603587,no,no,no,0.5897435897435898,0.11734693877551021,0.19574468085106383,0.16911742412758127,0.764084859679968,23.0,16.0,1818.0,173.0
OPENJPA,3,IBK,76.05002359603587,no,no,no,0.47058823529411764,0.10884353741496598,0.17679558011049723,0.14581109397857198,0.725038761415144,32.0,36.0,2715.0,262.0
OPENJPA,3,naive bayes,76.05002359603587,no,no,feature selection,0.782608695652174,0.1836734693877551,0.2975206611570248,0.2707532098692384,0.8271648899472548,18.0,5.0,912.0,80.0
OPENJPA,3,random forest,76.05002359603587,no,no,feature selection,0.6285714285714286,0.11224489795918367,0.19047619047619047,0.1660771951407042,0.7779722030578862,22.0,13.0,1821.0,174.0
OPENJPA,3,IBK,76.05002359603587,no,no,feature selection,0.5423728813559322,0.10884353741496598,0.1813031161473088,0.1539983445379849,0.7589429446805985,32.0,27.0,2724.0,262.0
OPENJPA,3,naive bayes,76.05002359603587,no,SMOTE,no,0.7,0.21428571428571427,0.328125,0.29627539503386013,0.8282776578461265,21.0,9.0,908.0,77.0
OPENJPA,3,random forest,76.05002359603587,no,SMOTE,no,0.5833333333333334,0.14285714285714285,0.22950819672131142,0.1990833235397814,0.7668055771927091,28.0,20.0,1814.0,168.0
OPENJPA,3,IBK,76.05002359603587,no,SMOTE,no,0.4875,0.1326530612244898,0.20855614973262032,0.17445662627428304,0.7327428245016654,39.0,41.0,2710.0,255.0
OPENJPA,3,naive bayes,76.05002359603587,cost sensitive,no,no,0.75,0.21428571428571427,0.3333333333333333,0.303442754203362,0.8292346382391561,21.0,7.0,910.0,77.0
OPENJPA,3,random forest,76.05002359603587,cost sensitive,no,no,0.4861111111111111,0.17857142857142858,0.26119402985074625,0.22076864618391015,0.788095609017871,35.0,37.0,1797.0,161.0
